Comparison,# significantly up,# significantly down,Total,Comparison_Type,n_case,n_control,ratio
JG3-OVA_vs_JG3-PBS_C,329,134,463,individual,78,123,0.6341463414634146
NG6-OVA_C_vs_NG6-PBS,174,126,300,individual,75,190,0.39473684210526316
JG1-OVA_C_vs_JG1-PBS,100,172,272,individual,78,254,0.30708661417322836
NG13-OVA_vs_NG13-PBS_C,74,182,256,individual,305,428,0.7126168224299065
JG4-OVA_C_vs_JG4-PBS_C,122,123,245,individual,40,107,0.37383177570093457
JG10-OVA_vs_JG10-PBS_C,169,72,241,individual,44,38,1.1578947368421053
JG8-OVA_C_vs_lumped,84,135,219,lumped,6,22,0.2727272727272727
NG4-OVA_C_vs_NG4-PBS,96,103,199,individual,59,147,0.4013605442176871
JG4-OVA_vs_JG4-PBS_C,101,97,198,individual,93,107,0.8691588785046729
JG1-OVA_vs_JG1-PBS_C,115,80,195,individual,155,254,0.610236220472441
JG8-OVA_C_vs_JG8-PBS,63,129,192,individual,6,22,0.2727272727272727
NG6-OVA_C_vs_lumped,101,64,165,lumped,75,190,0.39473684210526316
NG4-OVA_C_vs_lumped,73,81,154,lumped,59,147,0.4013605442176871
NG15-OVA_vs_NG15-PBS_C,115,22,137,individual,62,109,0.5688073394495413
JG2-OVA_vs_JG2-NT,115,19,134,individual,48,99,0.48484848484848486
JG3-OVA_C_vs_JG3-PBS_C,96,35,131,individual,20,123,0.16260162601626016
NG3-OVA_vs_NG3-PBS_C,18,108,126,individual,65,127,0.5118110236220472
NG7-OVA_C_vs_NG7-PBS_C,61,54,115,individual,65,107,0.6074766355140186
NG13-OVA_C_vs_NG13-PBS,75,37,112,individual,179,428,0.4182242990654206
JG3-OVA_C_vs_JG3-PBS,40,59,99,individual,20,123,0.16260162601626016
NG24-OVA_vs_NG24-PBS_C,40,52,92,individual,37,73,0.5068493150684932
NG18-OVA_vs_NG18-PBS_C,79,6,85,individual,38,62,0.6129032258064516
NG11-OVA_vs_NG11-PBS_C,53,32,85,individual,126,261,0.4827586206896552
NG13-OVA_C_vs_NG13-PBS_C,38,32,70,individual,179,428,0.4182242990654206
NG13-OVA_C_vs_lumped,50,15,65,lumped,179,428,0.4182242990654206
JG4-OVA_C_vs_JG4-PBS,32,32,64,individual,40,107,0.37383177570093457
NG24-OVA_C_vs_NG24-PBS_C,27,36,63,individual,38,73,0.5205479452054794
NG7-OVA_vs_NG7-PBS_C,32,30,62,individual,74,107,0.6915887850467289
NG13-OVA_C_vs_NG13-NT,42,20,62,individual,179,428,0.4182242990654206
NG25-OVA_vs_NG25-PBS_C,27,34,61,individual,15,24,0.625
NG4-OVA_C_vs_NG4-NT,43,16,59,individual,59,147,0.4013605442176871
NG11-OVA_C_vs_NG11-PBS,34,20,54,individual,75,261,0.28735632183908044
JG1-OVA_C_vs_lumped,37,16,53,lumped,78,254,0.30708661417322836
